Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,4C,A,4C-A,WA-ABLA-L-4C-A,,,2013,0,0,0,0,0,106,RINGWIDTH,1,WA-ABLA-L-4C-BOTH_highres.tif,5/4/15 20:56,                   ,,3570 21476 8 RGB,Intr 0.007913 0.007936 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],656.0000 17344.0000 348.0000 984.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,129.8481,0.168,0.183,0.146,0.102,0.09,0.199,0.182,0.145,0.191,0.165,0.212,0.337,0.399,0.312,0.335,0.187,0.148,0.304,0.234,0.366,0.593,0.464,0.601,0.763,0.355,0.41,0.558,0.457,0.331,0.488,0.554,0.551,0.516,0.77,0.699,0.722,0.449,0.46,0.446,0.391,0.643,0.371,0.431,0.514,0.379,0.296,0.34,0.287,0.372,0.892,0.742,0.772,1.072,0.879,0.58,0.897,0.739,1.295,1.722,1.886,1.508,1.734,2.063,1.819,1.706,2.016,1.806,1.234,1.526,1.327,1.323,1.361,1.654,1.449,1.816,1.456,1.451,1.348,1.409,1.739,1.999,1.817,1.967,1.814,1.996,1.863,1.579,1.813,1.844,1.58,1.646,1.839,2.117,2.879,2.51,2.155,2.071,2.245,2.568,2.493,2.926,3.724,3.983,3.344,2.594,2.092,0.48,,,,
WA,ABLA,L,4C,B,4C-B,WA-ABLA-L-4C-B,,,2013,0,0,0,0,0,102,RINGWIDTH,1,WA-ABLA-L-4C-BOTH_highres.tif,5/4/15 20:56,                   ,,3570 21476 8 RGB,Intr 0.007913 0.007936 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3150.0000 17664.0000 2757.0000 630.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.2096,0.122,0.344,0.503,0.162,0.126,0.059,0.079,0.091,0.067,0.051,0.131,0.138,0.154,0.063,0.11,0.111,0.15,0.214,0.206,0.404,0.301,0.206,0.214,0.262,0.119,0.174,0.182,0.238,0.27,0.19,0.109,0.107,0.095,0.094,0.238,0.214,0.175,0.262,0.198,0.143,0.254,0.19,0.356,0.428,0.642,0.411,0.546,0.712,0.562,0.712,1.321,2.02,1.546,1.484,1.27,1.285,1.42,1.968,2.151,2.454,2.322,2.646,2.383,2.095,2.101,2.17,1.853,1.783,1.452,1.817,1.762,1.658,2.023,1.959,1.831,1.83,2.228,2.677,2.771,2.348,2.295,2.519,2.403,2.053,2.273,2.357,3.02,3.074,2.61,2.301,2.954,3.22,4.01,2.3,3.054,3.436,3.071,3.375,3.018,2.315,2.956,1.335,,,,,,,,,
WA,ABLA,L,5C,A,5C-A,WA-ABLA-L-5C-A,,,2013,0,0,0,0,0,104,RINGWIDTH,1,WA-ABLA-L-5C-BOTH.tif,5/4/15 21:05,                   ,,1391 16462 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],824.0000 7594.0000 852.0000 504.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,112.5267,0.127,0.364,0.262,0.152,0.127,0.365,0.365,0.261,0.166,0.27,0.206,0.397,0.396,0.333,0.349,0.427,0.555,0.571,0.57,0.523,0.682,0.213,0.468,0.775,0.587,0.523,0.73,0.554,0.681,0.619,0.388,0.42,0.449,0.507,0.428,0.514,0.537,0.615,0.506,0.67,0.496,0.516,0.658,0.463,0.767,0.69,0.633,0.951,0.593,0.899,0.905,0.631,0.72,0.804,0.663,1.265,1.402,0.861,1.099,1.119,1.042,1.184,0.607,0.865,0.539,0.963,1.15,1.558,1.178,1.103,1.256,1.94,1.903,1.368,2.341,1.602,2.012,2.168,1.698,1.661,1.749,2.619,2.305,1.997,2.12,2.447,2.332,2.115,1.913,1.381,2.417,1.437,1.954,2.055,2.6,2.602,2.198,1.96,2.163,1.781,1.882,2.254,1.396,0.888,,,,,,,
WA,ABLA,L,5C,B,5C-B,WA-ABLA-L-5C-B,,,2013,0,0,0,0,0,104,RINGWIDTH,1,WA-ABLA-L-5C-BOTH.tif,5/4/15 21:05,                   ,,1391 16462 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],816.0000 7670.5000 708.5000 15742.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,127.4401,0.39,0.66,0.612,0.456,0.285,0.601,0.457,0.378,0.489,0.396,0.333,0.418,0.391,0.317,0.444,0.46,0.698,0.651,0.555,0.539,0.808,0.412,0.491,0.824,0.618,0.396,0.841,0.698,0.698,0.746,0.666,0.601,0.794,0.872,0.793,1.015,0.857,1.142,1,1.143,1.032,1.269,1.086,0.705,1.267,0.982,1.062,1.579,0.901,1.44,1.474,1.031,1.221,0.871,0.84,1.676,1.864,1.172,1.886,1.933,1.886,1.994,1.062,1.389,1.126,1.696,2.027,2.328,1.76,1.828,1.663,2.221,2.029,1.478,2.678,1.664,1.889,2.042,1.618,1.414,1.412,2.225,2.08,1.457,1.741,2.125,1.871,1.538,1.459,1.091,2.105,1.455,1.77,1.426,1.903,2.055,1.357,1.343,2.228,1.785,1.421,2.106,1.294,0.698,,,,,,,
WA,ABLA,L,6C,B,6C-B,WA-ABLA-L-6C-B,,,2013,0,0,0,0,0,59,RINGWIDTH,1,WA-ABLA-L-6C-Both.tif,5/4/15 21:22,                   ,,1969 24614 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],880.0000 15088.0000 832.0000 24256.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,97.0052,0.638,1.01,0.734,0.875,0.951,1.476,1.046,0.866,1.235,1.259,0.906,1.307,1.566,1.438,1.3,1.595,2.149,2.208,1.719,0.847,0.942,0.689,0.519,1.591,1.872,1.206,1.898,1.83,1.223,1.223,0.771,0.704,0.548,0.308,0.429,0.506,0.694,0.971,1.063,1.612,1.446,1.12,0.974,0.678,1.36,0.818,1.281,1.437,1.208,1.182,1.287,0.69,0.984,1.446,0.624,0.636,0.566,0.845,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,6C,A,6C-A,WA-ABLA-L-6C-A,,,2013,0,0,0,0,0,59,RINGWIDTH,1,WA-ABLA-L-6C-Both.tif,5/4/15 21:22,                   ,,1969 24614 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],880.0000 15360.0000 1040.0000 352.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,155.524,1.173,1.563,1.087,0.679,0.917,1.428,1.579,1.636,1.822,1.87,1.47,1.711,2.089,1.792,1.904,3.112,2.553,2.24,1.74,1.761,2.215,1.779,0.848,2.945,2.477,1.786,2.555,2.755,2.309,2.213,2.324,1.925,2.381,2.464,2.704,2.652,2.879,3.261,2.873,3.949,3.375,4.57,2.065,2.643,3.229,1.576,1.951,1.585,1.162,0.922,1.195,0.658,1.045,1.428,0.732,0.705,0.553,0.997,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,6N,B,6N-B,WA-ABLA-L-6N-B,,,2013,0,0,0,0,0,82,RINGWIDTH,1,WA-ABLA-L-6N-BOTH.tif,5/4/15 21:35,                   ,,984 10495 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],504.0000 3784.0000 552.0000 448.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,70.6017,0.095,0.126,0.103,0.124,0.094,0.206,0.206,0.18,0.209,0.26,0.505,0.652,0.693,0.734,0.589,0.612,0.612,0.899,0.539,0.29,0.373,0.31,0.309,0.66,0.437,0.306,0.446,0.433,0.623,0.629,0.42,0.336,0.316,0.316,0.562,0.805,0.736,0.651,0.713,0.962,0.833,0.701,0.62,0.6,0.825,1.087,1.095,0.809,0.993,0.887,0.97,0.718,0.744,0.979,0.752,0.931,0.546,0.561,1.051,0.986,0.764,1.219,0.999,0.619,0.639,0.739,0.916,1.031,0.944,1.136,0.908,1.014,1.157,1.107,2.112,1.256,1.161,1.409,1.714,1.113,0.996,1.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,6N,A,6N-A,WA-ABLA-L-6N-A,,,2013,0,0,0,0,0,82,RINGWIDTH,1,WA-ABLA-L-6N-BOTH.tif,5/4/15 21:35,                   ,,984 10495 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],496.0000 3744.0000 336.0000 10200.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,136.6598,0.273,0.158,0.093,0.123,0.52,0.741,0.554,0.847,1.099,0.622,1.453,2.362,2.998,3.403,2.9,1.994,2.136,1.654,1.707,1.22,1.33,1.166,1.022,1.974,1.831,1.396,1.512,1.443,1.451,1.746,1.835,1.236,1.285,1.392,1.351,1.517,2.269,2.49,1.834,1.938,1.811,2.179,1.545,1.002,1.325,1.053,1.008,1.338,1.264,1.361,1.277,1.047,1.016,1.257,0.941,1.439,1.03,0.93,1.454,1.502,1.337,1.434,1.522,1.493,1.644,1.262,1.881,2.041,1.861,1.678,1.483,1.799,1.902,1.897,3.052,2.721,3.147,1.633,2.155,1.421,1.185,1.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,7C,A,7C-A,WA-ABLA-L-7C-B,,,2013,0,0,0,0,0,73,RINGWIDTH,1,WA-ABLA-L-7C-Both.tif,5/4/15 21:43,                   ,,2008 8979 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],280.0000 8910.0000 160.0000 300.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,178.7357,1.553,2.026,1.663,1.635,1.427,1.623,1.134,1.279,1.22,1.481,1.004,1.32,1.533,1.207,1.374,1.721,1.506,1.125,1.104,1.507,1.609,1.311,1.311,2.393,2.347,2.065,2.307,2.028,2.149,2.429,1.375,1.355,2.237,1.807,1.087,0.868,1.529,2.86,2.252,2.113,1.82,2.423,1.618,1.731,3.25,2.528,2.847,1.866,1.367,1.935,2.115,1.216,3.707,3.902,3.372,5.206,4.309,4.19,4.549,4.608,3.803,3.317,3.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,7C,B,7C-B,WA-ABLA-L-7C-A,,,2013,0,0,0,0,0,58,RINGWIDTH,1,WA-ABLA-L-7C-Both.tif,5/4/15 21:43,                   ,,2008 8979 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1620.0000 8450.0000 1610.0000 1960.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,137.3377,1.373,1.9,1.712,1.776,1.651,2.497,1.649,2.301,2.185,2.462,1.215,2.311,2.67,1.989,1.788,2.568,1.446,2.029,1.48,1.46,1.396,1.692,1.672,2.645,2.243,2.158,3.152,3.123,2.321,2.775,2.174,2.027,3.245,2.386,2.211,2.315,2.982,2.349,2.295,2.717,3.234,3.292,1.73,1.562,1.752,0.825,4.08,4.238,4.08,3.45,4.233,3.738,2.857,1.989,0.972,2.241,1.523,1.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,8C,A,8C-A,WA-ABLA-L-8C-A,,,2013,0,0,0,0,0,40,RINGWIDTH,1,WA-ABLA-L-8C-BOTH.tif,5/4/15 21:51,                   ,,2008 5946 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],288.0000 4266.0000 252.0000 534.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,78.978,0.627,0.799,0.478,0.381,0.733,1.091,0.737,1.064,0.881,0.755,0.861,1.136,1.494,1.765,1.972,3.441,3.546,3.395,3.691,2.864,2.022,1.891,1.505,2.819,2.083,1.691,2.028,1.753,2.406,2.687,2.652,2.354,2.826,2.509,1.951,1.877,1.392,1.286,0.846,2.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,8C,B,8C-B,WA-ABLA-L-8C-B,,,2013,0,0,0,0,0,53,RINGWIDTH,1,WA-ABLA-L-8C-BOTH.tif,5/4/15 21:51,                   ,,2008 5946 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1692.0000 5742.0000 1680.0000 1944.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,80.3714,0.323,0.24,0.197,0.27,0.331,0.343,0.312,0.65,0.59,0.569,0.488,0.808,0.892,0.932,0.902,1.373,1.378,1.362,1.363,1.283,1.411,1.125,1.07,1.655,1.241,1.286,1.579,1.472,1.717,2.068,1.906,1.45,1.85,2.083,1.963,2.155,2.558,2.262,1.841,1.903,1.776,1.905,1.545,1.693,1.819,2.052,2.305,2.516,2.242,2.603,2.552,1.722,2.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,9C,A,9C-A,WA-ABLA-L-9C-A,,,2013,0,0,0,0,0,95,RINGWIDTH,1,WA-ABLA-L-9C-BOTH.tif,5/5/15 13:41,                   ,,2008 8683 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],312.0000 6016.0000 208.0000 640.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,113.7849,0.031,0.105,0.265,0.135,0.07,0.225,0.088,0.123,0.113,0.339,0.388,0.438,0.338,0.155,0.254,0.283,0.29,0.303,0.336,0.078,0.255,0.205,0.095,0.068,0.139,0.037,0.227,0.284,0.255,0.357,0.211,0.232,0.129,0.121,0.393,0.455,0.416,0.438,0.519,0.778,0.597,0.487,0.736,0.744,0.862,0.995,0.99,1.201,0.878,1.153,1.437,1.344,1.293,1.522,1.575,2.231,1.842,1.237,1.866,1.881,2.131,2.162,1.721,1.976,1.747,2.342,2.229,2.652,2.032,2.368,2.187,3.012,3.335,2.144,3.042,2.51,2.502,2.952,2.178,1.945,2.137,2.454,2.618,2.338,2.501,2.226,2.055,1.917,1.592,1.553,1.934,1.416,1.317,0.572,1.542,,,,,,,,,,,,,,,,
WA,ABLA,L,9C,B,9C-B,WA-ABLA-L-9C-B,,,2013,0,0,0,0,0,95,RINGWIDTH,1,WA-ABLA-L-9C-BOTH.tif,5/5/15 13:41,                   ,,2008 8683 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1752.0000 7416.0000 1720.0000 1024.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.2654,0.028,0.105,0.302,0.092,0.12,0.197,0.169,0.107,0.132,0.136,0.041,0.262,0.423,0.233,0.118,0.199,0.55,0.549,0.614,0.423,0.233,0.301,0.183,0.443,0.225,0.283,0.593,0.55,0.717,0.568,0.396,0.438,0.498,0.392,0.616,0.633,0.816,0.71,0.714,1,0.714,0.883,1,1.004,1.339,1.388,1.498,1.582,1.375,1.735,2.241,1.86,1.943,2.155,1.755,2.684,2.433,1.377,2.243,2.455,2.37,2.56,1.989,2.603,2.073,2.468,2.476,2.8,2.009,2.367,2.278,2.905,2.992,2.267,3.288,2.61,2.762,3.362,2.834,2.168,2.483,2.303,2.386,2.365,2.531,2.241,1.825,1.796,2.109,1.904,2.647,1.652,1.521,0.512,1.706,,,,,,,,,,,,,,,,
WA,ABLA,L,9N,A,9N-A,WA-ABLA-L-9N-B,,,2013,0,0,0,0,0,86,RINGWIDTH,1,WA-ABLA-L-9N-BOTH.tif,5/5/15 13:57,                   ,,2008 9589 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],208.0000 7040.0000 192.0000 288.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,142.8822,0.06,0.179,0.159,0.148,0.159,0.232,0.233,0.571,0.233,0.274,0.253,0.359,0.422,0.38,0.464,0.464,0.484,0.674,0.485,0.464,0.591,0.296,0.423,0.635,0.508,0.55,0.613,0.656,0.888,0.909,0.571,0.613,0.571,0.93,0.655,0.998,0.604,1.411,1.302,1.902,1.585,1.395,1.416,0.987,1.596,1.895,2.642,2.306,1.735,2.749,1.756,1.206,1.608,1.608,1.756,2.518,2.285,2.071,2.726,2.726,2.473,2.747,1.979,2.485,1.911,3.15,2.94,2.919,1.958,2.342,2.251,2.775,2.599,2.01,2.984,2.346,2.626,3.037,2.592,2.324,2.597,3.489,3.812,3.25,3.278,5.914,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,9N,B,9N-B,WA-ABLA-L-9N-A,,,2013,0,0,0,0,0,84,RINGWIDTH,1,WA-ABLA-L-9N-BOTH.tif,5/5/15 13:57,                   ,,2008 9589 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1640.0000 7696.0000 1712.0000 912.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,143.567,0.042,0.212,0.105,0.149,0.169,0.19,0.148,0.288,0.177,0.19,0.212,0.296,0.296,0.275,0.402,0.36,0.444,0.528,0.457,0.43,0.529,0.444,0.508,0.888,0.571,0.719,0.783,0.762,1.143,0.994,0.571,0.444,0.698,0.465,0.635,0.486,0.613,0.527,0.675,0.97,0.97,1.14,0.887,0.803,1.225,0.739,1.184,1.29,1.644,2.567,2.201,1.713,2.009,2.158,1.354,2.56,2.772,2.049,2.896,3.088,2.889,3.072,2.44,3.072,2.857,3.042,2.857,3.461,2.65,2.839,2.665,3.237,3.336,2.769,3.547,2.799,3.543,3.722,3.411,2.819,2.899,3.713,3.796,4.603,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,10C,B,10C-B,WA-ABLA-L-10C-B,,,2013,0,0,0,0,0,108,RINGWIDTH,1,WA-ABLA-L-10C-BOTH.tif,5/5/15 14:18,                   ,,4292 13212 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2050.0000 6330.0000 260.0000 40.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,132.7515,,,,,,,,,,,,,,,,,,,,0.248,0.228,0.215,0.12,0.369,0.393,0.35,0.369,0.393,0.622,0.603,0.366,0.512,0.554,0.511,0.451,0.452,0.557,0.554,0.612,0.714,0.633,0.574,0.548,0.554,0.559,0.515,0.824,0.824,0.844,1.116,0.748,0.563,0.648,0.647,0.459,1.356,1.17,0.978,1.185,0.777,0.8,0.843,0.907,0.886,0.92,1.35,0.949,1.097,1.39,1.578,1.496,1.965,2.365,1.93,3.289,2.602,2.791,3.272,2.883,2.615,2.588,2.874,3.058,2.912,2.766,3.036,2.859,2.836,2.632,2.252,2.78,2.026,2.359,2.393,2.758,2.753,2.529,1.795,2.423,2.132,1.285,2.292,1.981,2.069,1.708,1.985,3.528,1.416,,,
WA,ABLA,L,10C,A,10C-A,WA-ABLA-L-10C-A,,,2013,0,0,0,0,0,108,RINGWIDTH,1,WA-ABLA-L-10C-BOTH.tif,5/5/15 14:18,                   ,,4292 13212 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1984.0000 6168.0000 4064.0000 13168.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,148.0508,0.124,0.144,0.168,0.164,0.18,0.241,0.243,0.209,0.128,0.211,0.245,0.168,0.123,0.179,0.236,0.271,0.277,0.274,0.34,0.341,0.332,0.274,0.274,0.422,0.4,0.265,0.394,0.386,0.57,0.601,0.36,0.48,0.716,0.602,0.56,0.373,0.715,0.672,0.671,0.636,0.766,0.86,0.84,0.732,0.708,0.605,0.996,0.975,0.684,0.596,0.757,0.543,0.771,0.708,0.584,1.27,0.872,1.123,1.646,1.238,1.252,1.419,1.417,1.503,1.192,1.487,1.023,1.044,1.127,1.487,1.466,1.972,2.521,1.691,2.8,2.4,2.758,2.653,2.738,2.473,2.697,2.688,2.874,2.852,3.279,3.268,3.401,3.217,2.864,2.583,3.321,2.429,2.499,2.583,2.126,2.874,2.915,2.216,3.013,2.985,2.496,2.484,2.916,2.948,2.071,2.532,3.803,1.318,,,
